127.0.0.1, 2016-12-27 14:57:47, GET, /aces/test, HTTP/1.1, 200, 0.290157
127.0.0.1, 2016-12-27 14:57:55, GET, /admin/default/design.html/aces, HTTP/1.1, 200, 0.339557
127.0.0.1, 2016-12-27 14:57:58, GET, /aces/test, HTTP/1.1, 200, 0.298698
127.0.0.1, 2016-12-27 14:58:25, GET, /admin/default/design.html/aces, HTTP/1.1, 200, 0.393074
127.0.0.1, 2016-12-27 14:58:28, GET, /aces/test, HTTP/1.1, 200, 0.325042
127.0.0.1, 2016-12-27 14:58:35, GET, /admin/default/edit/aces/controllers/test.py, HTTP/1.1, 200, 0.085681
127.0.0.1, 2016-12-27 14:58:36, GET, /admin/default/edit/aces/controllers/test.py, HTTP/1.1, 200, 0.079423
127.0.0.1, 2016-12-27 14:58:36, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.146322
127.0.0.1, 2016-12-27 14:58:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.188328
127.0.0.1, 2016-12-27 14:58:36, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.093868
127.0.0.1, 2016-12-27 14:58:36, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.464232
127.0.0.1, 2016-12-27 14:58:37, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.605196
127.0.0.1, 2016-12-27 14:58:53, POST, /admin/default/edit/aces/controllers/test.py, HTTP/1.1, 200, 0.055674
127.0.0.1, 2016-12-27 14:58:56, GET, /aces/test, HTTP/1.1, 404, 0.050232
127.0.0.1, 2016-12-27 14:59:07, GET, /admin/default/design.html/aces, HTTP/1.1, 200, 0.347419
127.0.0.1, 2016-12-27 14:59:14, GET, /aces/test/hello, HTTP/1.1, 200, 0.070397
127.0.0.1, 2016-12-27 14:59:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.121356
127.0.0.1, 2016-12-27 14:59:38, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 1.644415
127.0.0.1, 2016-12-27 14:59:44, POST, /admin/default/edit/aces/controllers/test.py, HTTP/1.1, 200, 0.053539
127.0.0.1, 2016-12-27 14:59:46, GET, /aces/test/hello, HTTP/1.1, 200, 0.111226
127.0.0.1, 2016-12-27 15:00:00, GET, /admin/default/design/aces, HTTP/1.1, 200, 0.355944
127.0.0.1, 2016-12-27 15:00:05, GET, /admin/default/peek/aces/controllers/default.py, HTTP/1.1, 200, 0.064156
127.0.0.1, 2016-12-27 15:00:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.072934
127.0.0.1, 2016-12-27 15:00:36, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.273145
127.0.0.1, 2016-12-27 15:01:05, POST, /admin/default/edit/aces/controllers/test.py, HTTP/1.1, 200, 0.054018
127.0.0.1, 2016-12-27 15:01:11, POST, /admin/default/edit/aces/controllers/test.py, HTTP/1.1, 200, 0.046806
127.0.0.1, 2016-12-27 15:01:16, GET, /aces/test/hello, HTTP/1.1, 404, 0.051132
127.0.0.1, 2016-12-27 15:01:18, GET, /aces/test/, HTTP/1.1, 404, 0.059897
127.0.0.1, 2016-12-27 15:01:23, POST, /admin/default/edit/aces/controllers/test.py, HTTP/1.1, 200, 0.052755
127.0.0.1, 2016-12-27 15:01:30, POST, /admin/default/edit/aces/controllers/test.py, HTTP/1.1, 200, 0.047795
127.0.0.1, 2016-12-27 15:01:33, GET, /aces/test/, HTTP/1.1, 200, 0.300102
127.0.0.1, 2016-12-27 15:01:33, GET, /aces/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000842
127.0.0.1, 2016-12-27 15:01:33, GET, /aces/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001150
127.0.0.1, 2016-12-27 15:01:33, GET, /aces/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001759
127.0.0.1, 2016-12-27 15:01:33, GET, /aces/static/js/jquery.js, HTTP/1.1, 200, 0.001296
127.0.0.1, 2016-12-27 15:01:33, GET, /aces/static/css/calendar.css, HTTP/1.1, 200, 0.001846
127.0.0.1, 2016-12-27 15:01:33, GET, /aces/static/js/calendar.js, HTTP/1.1, 200, 0.001321
127.0.0.1, 2016-12-27 15:01:33, GET, /aces/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001889
127.0.0.1, 2016-12-27 15:01:33, GET, /aces/static/js/web2py.js, HTTP/1.1, 200, 0.004719
127.0.0.1, 2016-12-27 15:01:33, GET, /aces/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001901
127.0.0.1, 2016-12-27 15:01:33, GET, /aces/static/js/share.js, HTTP/1.1, 200, 0.001260
127.0.0.1, 2016-12-27 15:01:34, GET, /aces/static/images/twitter.png, HTTP/1.1, 200, 0.000842
127.0.0.1, 2016-12-27 15:01:34, GET, /aces/static/images/facebook.png, HTTP/1.1, 200, 0.002431
127.0.0.1, 2016-12-27 15:01:34, GET, /aces/static/images/gplus-32.png, HTTP/1.1, 200, 0.001511
127.0.0.1, 2016-12-27 15:01:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.074578
127.0.0.1, 2016-12-27 15:01:36, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.279593
127.0.0.1, 2016-12-27 15:02:14, POST, /admin/default/edit/aces/controllers/test.py, HTTP/1.1, 200, 0.055868
127.0.0.1, 2016-12-27 15:02:16, GET, /aces/test/, HTTP/1.1, 404, 0.052720
127.0.0.1, 2016-12-27 15:02:20, GET, /aces/test/hello, HTTP/1.1, 200, 0.304768
127.0.0.1, 2016-12-27 15:02:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.076529
127.0.0.1, 2016-12-27 15:02:36, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.274638
127.0.0.1, 2016-12-27 15:02:41, POST, /admin/default/edit/aces/controllers/test.py, HTTP/1.1, 200, 0.053309
127.0.0.1, 2016-12-27 15:02:43, GET, /aces/test/hello, HTTP/1.1, 200, 0.294571
127.0.0.1, 2016-12-27 15:02:43, GET, /aces/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000774
127.0.0.1, 2016-12-27 15:02:43, GET, /aces/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000808
127.0.0.1, 2016-12-27 15:02:43, GET, /aces/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.003227
127.0.0.1, 2016-12-27 15:02:43, GET, /aces/static/css/calendar.css, HTTP/1.1, 304, 0.002146
127.0.0.1, 2016-12-27 15:02:43, GET, /aces/static/js/calendar.js, HTTP/1.1, 304, 0.001212
127.0.0.1, 2016-12-27 15:02:43, GET, /aces/static/js/jquery.js, HTTP/1.1, 304, 0.002291
127.0.0.1, 2016-12-27 15:02:43, GET, /aces/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000920
127.0.0.1, 2016-12-27 15:02:43, GET, /aces/static/js/web2py.js, HTTP/1.1, 304, 0.004081
127.0.0.1, 2016-12-27 15:02:43, GET, /aces/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.003009
127.0.0.1, 2016-12-27 15:02:43, GET, /aces/static/js/share.js, HTTP/1.1, 304, 0.001724
127.0.0.1, 2016-12-27 15:02:43, GET, /aces/static/images/twitter.png, HTTP/1.1, 304, 0.000784
127.0.0.1, 2016-12-27 15:02:43, GET, /aces/static/images/gplus-32.png, HTTP/1.1, 304, 0.000886
127.0.0.1, 2016-12-27 15:02:43, GET, /aces/static/images/facebook.png, HTTP/1.1, 304, 0.002267
127.0.0.1, 2016-12-27 15:03:01, GET, /admin/default/site, HTTP/1.1, 200, 0.134824
127.0.0.1, 2016-12-27 15:03:03, GET, /aces/test/hello, HTTP/1.1, 200, 0.297871
127.0.0.1, 2016-12-27 15:03:36, POST, /admin/default/edit/aces/controllers/test.py, HTTP/1.1, 200, 0.047944
127.0.0.1, 2016-12-27 15:03:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.088227
127.0.0.1, 2016-12-27 15:03:36, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.366455
127.0.0.1, 2016-12-27 15:03:41, GET, /aces/test/hello, HTTP/1.1, 200, 0.051421
127.0.0.1, 2016-12-27 15:03:43, GET, /aces/test/hello2, HTTP/1.1, 200, 0.329833
127.0.0.1, 2016-12-27 15:04:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.083660
127.0.0.1, 2016-12-27 15:04:36, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.262134
127.0.0.1, 2016-12-27 15:05:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.093928
127.0.0.1, 2016-12-27 15:05:36, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.299575
127.0.0.1, 2016-12-27 15:06:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.094817
127.0.0.1, 2016-12-27 15:06:36, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.253583
127.0.0.1, 2016-12-27 15:07:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.093986
127.0.0.1, 2016-12-27 15:07:36, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.251468
127.0.0.1, 2016-12-27 15:08:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.075048
127.0.0.1, 2016-12-27 15:08:36, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.251921
127.0.0.1, 2016-12-27 15:09:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.091603
127.0.0.1, 2016-12-27 15:09:36, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.253610
127.0.0.1, 2016-12-27 15:10:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.076021
127.0.0.1, 2016-12-27 15:10:36, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.281815
127.0.0.1, 2016-12-27 15:11:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.114969
127.0.0.1, 2016-12-27 15:11:36, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.310145
127.0.0.1, 2016-12-27 15:12:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.091207
127.0.0.1, 2016-12-27 15:12:36, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.298735
127.0.0.1, 2016-12-27 15:13:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.078687
127.0.0.1, 2016-12-27 15:13:36, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.286754
127.0.0.1, 2016-12-27 15:14:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.109441
127.0.0.1, 2016-12-27 15:14:36, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.304619
127.0.0.1, 2016-12-27 15:15:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.068932
127.0.0.1, 2016-12-27 15:15:36, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.265271
127.0.0.1, 2016-12-27 15:16:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.078045
127.0.0.1, 2016-12-27 15:16:36, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.251299
127.0.0.1, 2016-12-27 15:17:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.077978
127.0.0.1, 2016-12-27 15:17:36, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.266839
